Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South East,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,472,-,6.0,6.0,-,7.0,7.0,-,12.9,12.9,-,15.6,15.6,,,,,,,,,,,,,
,473,-,5.6,5.6,-,6.6,6.6,-,12.2,12.2,-,12.5,12.5,,,,,,,,,,,,,
,474,*,*,6.4,*,*,1.9,*,*,8.3,*,*,9.0,,,,,,,,,,,,,
,475,-,25.0,25.0,-,15.9,15.9,-,40.9,40.9,-,43.7,43.7,,,,,,,,,,,,,
,476,*,*,10.9,*,*,10.9,*,*,21.8,*,*,23.9,,,,,,,,,,,,,
,477,*,*,41.3,*,*,63.3,*,*,104.5,*,*,112.3,,,,,,,,,,,,,
,478,-,0.3,0.3,-,0.1,0.1,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,479,*,*,8.7,*,*,3.2,*,*,11.9,*,*,13.9,,,,,,,,,,,,,
49,,1.0,38.9,39.9,0.3,8.1,8.4,1.4,47.0,48.4,1.4,49.3,50.7,,,,,,,,,,,,,
,491,*,*,7.7,*,*,0.4,*,*,8.1,*,*,8.1,,,,,,,,,,,,,
,492,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,493,0.7,14.7,15.4,0.3,3.7,3.9,1.0,18.4,19.4,1.0,19.3,20.4,,,,,,,,,,,,,
,494,*,*,16.2,*,*,4.1,*,*,20.3,*,*,21.7,,,,,,,,,,,,,
,495,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
50,,-,3.8,3.8,-,0.8,0.8,-,4.6,4.6,-,4.6,4.6,,,,,,,,,,,,,
,501,-,2.6,2.6,-,0.5,0.5,-,3.1,3.1,-,3.1,3.1,,,,,,,,,,,,,
,502,-,1.1,1.1,-,0.2,0.2,-,1.3,1.3,-,1.3,1.3,,,,,,,,,,,,,
,503,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,504,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
51,,-,9.8,9.8,-,1.9,1.9,-,11.7,11.7,-,11.8,11.8,,,,,,,,,,,,,
,511,-,9.5,9.5,-,1.9,1.9,-,11.4,11.4,-,11.5,11.5,,,,,,,,,,,,,
,512,-,0.3,0.3,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
52,,*,*,51.3,*,*,5.1,*,*,56.4,*,*,58.8,,,,,,,,,,,,,
,521,*,*,20.3,*,*,1.5,*,*,21.8,*,*,22.7,,,,,,,,,,,,,
,522,2.8,28.2,31.0,0.4,3.2,3.6,3.1,31.4,34.6,3.2,32.9,36.1,,,,,,,,,,,,,
53,,*,*,30.8,*,*,4.1,*,*,35.0,*,*,35.9,,,,,,,,,,,,,
,531,*,*,20.3,*,*,2.3,*,*,22.6,*,*,22.6,,,,,,,,,,,,,
,532,-,10.5,10.5,-,1.8,1.8,-,12.3,12.3,-,13.3,13.3,,,,,,,,,,,,,
55,,-,25.1,25.1,-,18.4,18.4,-,43.5,43.5,-,44.8,44.8,,,,,,,,,,,,,
,551,-,19.9,19.9,-,15.8,15.8,-,35.7,35.7,-,36.8,36.8,,,,,,,,,,,,,
,552,*,*,3.1,*,*,1.4,*,*,4.5,*,*,4.6,,,,,,,,,,,,,
,553,*,*,1.9,*,*,1.0,-,2.8,2.8,-,2.9,2.9,,,,,,,,,,,,,
,559,*,*,0.2,*,*,0.2,*,*,0.4,*,*,0.5,,,,,,,,,,,,,
56,,0.8,85.8,86.6,2.4,113.1,115.5,3.2,198.9,202.2,3.2,213.8,217.1,,,,,,,,,,,,,
,561,0.1,43.5,43.6,0.2,52.1,52.3,0.2,95.7,95.9,0.2,104.1,104.3,,,,,,,,,,,,,
,562,0.8,12.9,13.6,2.2,18.1,20.4,3.0,31.0,34.0,3.0,31.6,34.6,,,,,,,,,,,,,
,563,-,29.4,29.4,-,42.8,42.8,-,72.2,72.2,-,78.1,78.1,,,,,,,,,,,,,
58,,-,20.2,20.2,-,5.9,5.9,-,26.1,26.1,-,27.5,27.5,,,,,,,,,,,,,
,581,-,18.3,18.3,-,5.5,5.5,-,23.8,23.8,-,24.9,24.9,,,,,,,,,,,,,
,582,-,1.9,1.9,-,0.4,0.4,-,2.3,2.3,-,2.6,2.6,,,,,,,,,,,,,
59,,*,*,2.3,*,*,2.1,*,*,4.3,*,*,6.1,,,,,,,,,,,,,
,591,*,*,2.2,*,*,2.0,*,*,4.2,*,*,5.8,,,,,,,,,,,,,
,592,-,0.1,0.1,-,-,-,-,0.2,0.2,-,0.4,0.4,,,,,,,,,,,,,
60,,*,*,0.8,*,*,0.1,*,*,0.8,*,*,1.0,,,,,,,,,,,,,
,601,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.4,0.4,,,,,,,,,,,,,
,602,*,*,0.4,*,*,-,*,*,0.5,*,*,0.5,,,,,,,,,,,,,
61,,*,*,33.1,*,*,2.0,*,*,35.1,*,*,36.3,,,,,,,,,,,,,
,611,*,*,0.6,*,*,-,*,*,0.6,*,*,0.7,,,,,,,,,,,,,
,612,-,1.9,1.9,-,0.1,0.1,-,1.9,1.9,-,2.0,2.0,,,,,,,,,,,,,
,613,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,619,*,*,30.2,*,*,1.9,*,*,32.0,*,*,33.1,,,,,,,,,,,,,
62,,*,*,110.2,*,*,10.6,*,*,120.8,*,*,129.1,,,,,,,,,,,,,
,620,*,*,110.2,*,*,10.6,*,*,120.8,*,*,129.1,,,,,,,,,,,,,
63,,*,*,7.8,*,*,0.9,-,8.6,8.7,-,10.0,10.1,,,,,,,,,,,,,
,631,*,*,6.5,*,*,0.7,*,*,7.2,*,*,8.1,,,,,,,,,,,,,
