Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,East Midlands,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
56,,*,*,26.9,*,*,53.3,*,*,80.2,*,*,86.9,,,,,,,,,,,,,
,561,*,*,13.4,*,*,25.1,*,*,38.5,*,*,42.1,,,,,,,,,,,,,
,562,0.2,2.7,2.9,0.6,5.3,5.9,0.7,8.1,8.8,0.7,8.4,9.1,,,,,,,,,,,,,
,563,-,10.5,10.5,-,22.3,22.3,-,32.9,32.9,-,35.7,35.7,,,,,,,,,,,,,
58,,-,3.1,3.1,-,1.1,1.1,-,4.1,4.1,-,4.5,4.5,,,,,,,,,,,,,
,581,-,2.8,2.8,-,1.0,1.0,-,3.8,3.8,-,4.2,4.2,,,,,,,,,,,,,
,582,-,0.2,0.2,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
59,,*,*,0.5,*,*,0.6,*,*,1.1,*,*,1.5,,,,,,,,,,,,,
,591,*,*,0.5,*,*,0.6,*,*,1.1,*,*,1.4,,,,,,,,,,,,,
,592,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
60,,*,*,0.2,*,*,0.1,*,*,0.3,*,*,0.3,,,,,,,,,,,,,
,601,*,*,0.2,*,*,0.1,*,*,0.3,*,*,0.3,,,,,,,,,,,,,
,602,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
61,,*,*,7.9,*,*,1.6,*,*,9.5,*,*,11.2,,,,,,,,,,,,,
,611,-,0.4,0.4,-,0.1,0.1,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,
,612,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.3,0.3,,,,,,,,,,,,,
,613,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,619,*,*,7.4,*,*,1.5,*,*,8.8,*,*,10.3,,,,,,,,,,,,,
62,,-,20.5,20.5,-,3.0,3.0,-,23.5,23.5,-,28.4,28.4,,,,,,,,,,,,,
,620,-,20.5,20.5,-,3.0,3.0,-,23.5,23.5,-,28.4,28.4,,,,,,,,,,,,,
63,,-,3.0,3.0,-,0.3,0.3,-,3.4,3.4,-,3.5,3.5,,,,,,,,,,,,,
,631,-,2.8,2.8,-,0.3,0.3,-,3.1,3.1,-,3.2,3.2,,,,,,,,,,,,,
,639,-,0.2,0.2,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
